jurisdiction,country_code,small_jurisdiction,unique_id,lat,lon,region,income_group,population,level,year_imp,date_imp,last_update,update_detail,instrument,structure,basis_specific,basis_advalorem,products,carbonates,concentrates,energy_drinks,juice_unsweetened,juice_sweetened,milk_drinks,lcsb,water_unsweetened,exclusions,tiered,basis_tiers,bev,sug,pom,swe,threshold,rate,targeted,health_obj,earmarked,indexed,legislation,url_1
"Berkeley, CA, USA",USA,1,USA2,39.8699136,-120.2737,NAR,HIC,N/A,City/County,2016,2016-03-01,N/I,N/A,Excise,Specific,Volume,N/A,"Soda, energy drinks, and heavily pre-sweetened tea as well as caloric sweeteners used to produce them ",1,1,1,0,1,0,0,0,"Milk-based drinks, LCSB, 100% fruit and/or vegetable juice ",0,N/A,0,0,0,0,1,US¢1 per ounce on SSB to which one or more added caloric sweeteners has been added and that contains at least 2 calories per fluid ounce,1,1,1,0,"Section 4 of Ord. 7388-NS, City of Berkeley",
Bermuda ,BMU,1,BMU,32.29781054,-64.76643286,NAR,HIC,63532,National,2018,2018-10-01,2023-04-01,"Customs tariff on SSBs increased from 33.5% to 50% in Oct 2018, increased to 75% in April 2019, sugar content tiers added April 2023",Import,Ad valorem,N/A,Import value ,"Waters, including mineral waters and aerated waters, containing added sugar (HS 2202.101); Preparations for making beverages containing added sugar (HS 2106.901); Syrups containing added sugar (HS 2106.902). Tax also applies to candies, pure sugar, syrups, chocolate, and cocoa preparations containing added sugar (Bermuda Discretionary Foods Tax). ",1,1,1,0,0,0,0,0,"LCSBs, fruit juices and drinks, unsweetened water",1,"BEV, SUGAR",1,1,0,0,1,"75% on waters containing 5g or more of added sugar per 100 ml (HS 2202.101) and on preparations for making beverages, other than non-dairy creamers, containing added sugar (HS 2106.901); 35% on non-dairy creamers, containing added sugar; 25% on waters containing less than 5 g of added sugar per 100 ml; ",1,1,1,N/A,Customs Tariff Amendment (No 2) Act 2018; Customs Tariff Amendment Act 2023,
Bolivia,BOL,0,BOL,,,LAC,LMIC,12224110,National,2016,2016-12-01,2022-12-28,Rates increased ,Excise,Specific,Volume,N/A,"Waters, including mineral waters and aerated waters, containing added sugar or other sweeteners or flavored under HS2202",1,0,1,0,0,0,1,0,"Unsweetened water, juices, milk-based drinks",1,BEV,1,0,0,0,0,"Bs. 5.36 per litre on energy drinks (HS 2202.10.00.10), BS. 0.48 on ""Other"" (2202.10.00.90 and 2202.99)",1,0,0,0,"LEY Nº 066 que modifica el impuesto a los consumos especifios, Decreto Supremo 0744 de diciembre 2010; Directorio Actualización de la Alícuotas Específicas del ICE para la gestión 2019 ",
"Boulder, CA, USA",USA,1,USA3,40.0133696,-105.2634199,NAR,HIC,N/A,City/County,2017,2017-07-01,N/I,N/A,Excise,Specific,Volume,N/A,"Any nonalcoholic beverage which contains  at least 5 grams of added caloric sweeteners (such as sugar and high-fructose corn syrup) per 12 fluid ounces. ""Sugar-Sweetened Beverage"" includes all drinks and beverages commonly referred to as ""soda,"" "" pop,"" ""cola,"" ""soft drinks,"" ""sports drinks,"" ""energy drinks,"" ""sweetened ice teas,"" ""sweetened coffees,"" or any other common names that are derivations thereof.",1,1,1,0,1,0,0,0,"Milk-based drinks, LCSB, 100% fruit and/or vegetable juice ",0,N/A,0,0,0,0,1,US¢2 per ounce any non-alcoholic beverage which contains at least 5 grams of caloric sweetener per 12 fluid ounces,1,1,1,0,Ordinance no. 8130 (Sugar Sweetened Beverage Product Distribution Tax),
Brazil ,BRA,0,BRA,,,LAC,UMIC,215313498,National,1965,1965-12-01,2021-12-31,"Rate lowered  in 2017 on flavored waters, juice drinks,  nectars, carbonates, low-calorie carbonates, energy drinks, and sports drinks from 27% to 4% . Rate lowered in 2018 on concentrates and syrups from 20% to 4%. Rate increased on concentrates and syrups to 12% in 2019, lowered to 4% at end of 2021 . Rates lowered by 35% in 2022 from 4% to 2.6%. Rate on concentrates used for preparation of SSB under heading 2202 increased to 8% in 2022. ",Excise,Ad valorem,N/A,Ex-factory or CIF value,"Waters (whether sweetened or not), carbonates, sports drinks, energy drinks",1,1,1,0,0,0,1,1,"Juices, coconut and other plant waters, soy milk, RTD tea and coffee",1,BEV,1,0,0,0,0,"2.6% on beverages under HS 2202, and carbonated unsweetened waters under 2201; 8% on concentrates under heading 2016.90.10 for preparing drinks of heading 2202 ",0,0,0,N/A,"Imposto Sobre Produtos Industrializados (IPI) established by Consitutional Amendment No. 18 of Dec 1, 1965; Lei Nº 4.502 de 30 De Novembro De 1964 - Dispõe sôbre o Impôsto de Consumo e reorganiza a Diretoria de Rendas Internas; Lei No. 5.368 of 1st December 1967; Decreto-Lei nº 116-A, de 27 de janeiro de 1967. Altera alíquotas do Imposto sôbre Produtos Industrializados [Decree-Law No. 116-A, of January 27, 1967. Changes the rates of Tax on Industrialized Products]; Decreto nº 11.158/2022 Aprova a Tabela de Incidência do Imposto sobre Produtos Industrializados - TIPI; Decreto nº 11.182/2022 Altera a Tabela de Incidência do Imposto sobre Produtos Industrializados - TIPI, aprovada pelo Decreto nº 11.158, de 29 de julho de 2022. ",
"British Columbia, Canada",CAN,1,CAN2,54.37837718,-123.8512217,NAR,HIC,N/A,State/Province,2021,2021-04-01,N/I,N/A,Sales,Ad valorem,N/A,Retail sale price,"Soda beverages - carbonated or effervescent beverages that have bubbles or fizz and contain sugar, natural occurring sweeteners, added natural sweeteners, or artificial sweeteners",1,0,1,0,0,0,1,0,"Plain bottled water (still and carbonated), sparkling flavored waters that contain no sweeteners, still fruit juices (not carbonated), frozen sweetened beverages that are not carbonated. All foods also exempt from Provincial Sales Tax. ",0,N/A,0,0,0,0,0,7% Provincial Sales Tax (PST) on sweetened carbonated soft drinks,1,1,0,N/A,Provincial Sales Tax Act 2012; Provincial Sales Tax (PST) Notice 2021-002 ,
Brunei Darussalam,BRN,0,BRN,,,EAP,HIC,449002,National,2017,2017-04-01,2023-05-17,Minimum sugar content thresholds removed on SSB under HS2202,Excise,Specific,Volume,N/A,"All sugar-sweetened soft drinks under HS2202, including soy milk-based drinks, malted or chocolate drinks, coffee-based or flavored drinks",1,0,1,0,0,1,1,0,"Fruit and vegetable juices under HS 2009, plain water",0,N/A,0,0,0,0,0,BND 0.40 per liter on SSB under HS2202; 5% on tea and coffee preparations (HS 2101),1,1,0,0,"Excise Duties (Amendment] [No. 2) Order, 2017 ",
Burkina Faso,BFA,0,BFA,,,AFR,LIC,22673762,National,1995,1995-11-15,2023-02-01,"Rate increased  from 10% to 15% in 2019, Rate applied to energy drinks increased to 50% in 2023",Excise,Ad valorem,N/A,Ex-factory or CIF value,"Non-alcoholic beverages excluding fruit and vegetable juices produced in Burkina Faso from local raw materials, and water",1,1,1,1,1,1,1,0,Fruit and vegetable juices produced in Burkina Faso from local raw materials; plain water,0,N/A,0,0,0,0,0,"50% on energy drinks, 15% on other SSBs",1,1,0,N/A,Loi n° 47/97/ADP du 15/11/95; Loi de finances 2019; Code général des impôts 2023,
Burundi,BDI,0,BDI,,,AFR,LIC,12889576,National,2012,2012-06-01,N/I,N/A,Excise,Mixed,Volume,Ex-factory or CIF value,"Lemonades, sodas, fruit juices, and other non-alcoholic beverages  ",1,1,1,1,1,0,1,1,Milk-based drinks,1,BEV,1,0,0,0,0,"13% on mineral waters (whether or not flavored), FBU 30,000/HL on lemonades, sodas, fruit juices, and other non-alcoholic beverages",0,0,0,0,Loi No 1/18 du 29 juin 2012 portant fixation du budget général révise de la République du Burundi pour l’exercice 2012 des finances; Loi No 1/13 du 15 Mai 2020 portant fixation du budget général révise de la République du Burundi pour l’exercice 2020/21,
Cabo Verde,CPV,1,CPV,15.120142,-23.6051721,AFR,LMIC,593149,National,2019,2019-01-01,N/I,N/A,Excise,Ad valorem,N/A,Ex-factory or CIF value,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter, or flavoured under HS heading 2202.10.00",1,0,1,0,0,0,1,0,"Juices (HS 2009), milk-based drinks, unsweetened waters (HS2201)",0,N/A,0,0,0,0,0,10% on waters containing added sugar or other sweetener under HS heading 2202.10.00,1,0,0,N/A,"Lei no. 44/IX/2018 de 31 de dezembro, approving the State Budget for 2019 and amending the rates of the Imposto sobre Consumos Especiais (ICE) (Special Consumption Tax) as appoved by law no. 20/VIII/2012, of 14 December. Published in the Official Bulletin of the Republic of Cabo Verde, No. 89 (Art. 29)",
Cambodia,KHM,0,KHM,,,EAP,LMIC,16767842,National,2003,2003-03-04,2023-09-01,Uniform 10% tax on all non-alcoholic beverages replaced with tiered tax in Sept 2023,Excise,Ad valorem,N/A,Ex-factory or CIF value,"All types of beverages, including soft drinks",1,1,1,1,1,1,1,1,None,1,BEV,1,0,0,0,0,"15% on energy drinks; 5% on UHT milk-based drinks, soy milk drinks, coconut water-based drinks, coffee-based/flavored drinks, non-carbonated drinks ready for immediate consumption; 10% on all other non-alcoholic beverages",1,1,0,N/A,"Prakas 012 MEF.Prk dated 14 January 2020; Notification No. 28271 GDT dated 15 August 2023 on the ""Adjustment of special tax rates on non-alcoholic beverages on local production enterprises""",
Cameroon,CMR,0,CMR,,,AFR,LMIC,27914536,National,2019,2019-01-01,N/I,N/A,Excise,Mixed,Volume,Ex-factory or CIF value,Domestic: Carbonated beverages; Imported: All non-alcoholic beverages,1,0,1,0,0,0,1,1,Non-carbonated domestic products,1,POM,0,0,1,0,0,25% on carbonated beverages under HS 2201 and 2202. Additional 2.5 CFA francs per centilitre excise duty on imported non-alcoholic beverages.,0,0,0,0,"Article 142(11) of the General Tax Code, as modified by Finance Law 2019",
"Catalonia, Spain",ESP,1,ESP1,41.82794985,1.489075014,ECA,HIC,N/A,State/Province,2017,2017-05-01,NI,N/A,Excise,Specific,Volume,N/A,"Packaged sugary drinks: soft drinks, flavored water, chocolate drinks, sports drinks, cold tea and coffee drinks, energy drinks, fruit nectar drinks, vegetable drinks, sweetened milk and milk alternatives, milkshakes, and milk drinks with fruit juice",1,1,1,0,1,1,0,0,"Unsweetened fruit juices, sugar-free soft drinks (LCSB), milk alternatives with no added caloric sweeteners ",1,SUGAR  ,0,1,0,0,1,"€0.10 per liter for drinks with 5–8 g per 100 ml sugar, €0.15 per liter for drinks with >8 g per 100 ml. Mandatory 100% pass-through of tax to final consumer ",1,1,0,0,"Ley 5/2017 de 28 de marzo de medidas fiscales, administrativas, financieras y del sector público y de creación y regulación de los impuestos sobre grandes establecimientos comerciales, sobre estancias en establecimientos turísticos, sobre elementos radiotóxico, sobre bebidas azucaradas envasadas y sobre emisiones de dióxido de carbono (DOGC núm. 7340, del 30 de marzo)",
Central African Republic,CAF,0,CAF,,,AFR,LIC,5579144,National,2019,2019-01-01,N/I,N/A,Excise,Ad valorem,N/A,Ex-factory or CIF value,"Imported non-alcoholic beverages, excluding mineral water",1,1,1,1,1,1,1,0,"Imported plain water, and all locally-produced products.  ",0,N/A,0,0,0,0,0,"10% on all imported non-alcoholic beverages, excluding mineral water",1,0,0,N/A,Code Général des Impôts (General Tax Code); Finance Law 2019,
Chad,TCD,0,TCD,,,AFR,LIC,17723315,National,2019,2019-01-01,N/I,N/A,Excise,Ad valorem,N/A,Ex-factory or CIF value,Sweetened beverages and carbonated waters (whether sweetened or not),1,1,1,0,1,1,1,1,"Non-carbonated water, unsweetened juices",0,N/A,0,0,0,0,0,"5% on all sweetened beverages and on carbonated waters, whether sweetened or not",0,0,0,N/A,Loi No 037/PR/2018 Portant Budget Général de I'Etat pour 2019,
Chile ,CHL,0,CHL,,,LAC,HIC,19603733,National,2014,2014-10-01,N/I,N/A,Excise,Ad valorem,N/A,Retail sale price,"All nonalcoholic drinks with added sweeteners including energy drinks and waters, excl. dairy based beverages",1,1,1,0,1,0,1,0,100% fruit juice and dairy-based beverages;,1,SUGAR  ,0,1,0,0,0,10% on SSB with <6.25 g total sugar per 100 ml; 18% on SSB with >6.25 g total sugar per 100 ml ,1,1,0,N/A,"Decreto de ley N 825;  Ley N 20780 Sep 2014; Ley N 21.045, D.O. 3 nov 2017",
"Congo, DR",ZAR,0,ZAR,,,AFR,LIC,99010212,National,2018,2018-03-13,N/I,N/A,Excise,Ad valorem,N/A,Ex-factory or CIF value,"Fruit and vegetable juices with or without added sugar or other sweetener, and drinks based on fruit or vegetable juices; lemonades; other sweetened drinks, flavored or not; natural or artificial mineral water, aerated or not",1,1,1,1,1,1,1,1,None,1,BEV,1,0,0,0,0,"10% on fruit and vegetable juices with or without added sugar or other sweetener, drinks based on fruit or vegetable juices, lemonades, and other sweetened drinks, flavored or not; 5% on natural or artificial mineral water, treated and/or packaged, aerated or not",1,0,0,N/A,Loi no. 18-002 portant Code des accises - 13 mars 2018,
Cook Islands,COK,1,COK,-20.78429004,-158.6450651,EAP,N/C,N/A,National,2014,2014-07-01,N/I,N/A,Excise,Specific,Sugar,N/A,Beverages containing added sugars,1,0,1,0,0,0,0,0,"LCSBs, juices, unsweetened unflavored water, milk-based drinks, tea and coffee-based drinks, concentrates",0,N/A,0,0,0,0,0,"NZD$9·37 per 1 kg of sugar on beverages containing added sugars, excluding juices, milk-based drinks, tea- and coffee-based drinks, and concentrates",1,1,0,0,Customs Revenue and Border Protection Act 2012; Cook Islands Customs Tariff Act 2012; Cook Islands Harmonised Tariff 2017 - Consolidated to June 2018; ,
Costa Rica,CRI,0,CRI,,,LAC,UMIC,5180829,National,2001,2001-01-01,2022-07-01,Periodic rate increases (4 times per year),Excise,Specific,Volume,N/A,All packaged beverages without alcohol content except milk,1,1,1,1,1,1,1,1,Milk,1,BEV,1,0,0,0,0,"Colónes 21.18 per consumption unit on carbonates and concentrates, 15.72 per unit on all other packaged drinks incuding water, 7.37 per unit on water in containers of >18 liters. Rates updated quarterly (Jan, April, July, Oct)",0,0,0,1,"Ley de Simplificación y Efficiencia Tributarias N 8114 of 4 July 2001; Decreto No. 44075-H of July 1, 2023",
Côte d'Ivoire,CIV,0,CIV,,,AFR,LMIC,28160542,National,2018,2018-01-01,N/I,N/A,Excise,Ad valorem,N/A,Ex-factory or CIF value,"Energy drinks and other non-alcoholic beverages, exlcuding water",1,1,1,1,1,1,1,0,Plain water,0,N/A,0,0,0,0,0,20% on all SSBs,1,0,0,N/A,Loi de finances pour 2018. Loi n°2017‐870 du 27 décembre 2017,
Croatia,HRV,0,HRV,,,ECA,HIC,3854000,National,1994,1994-07-01,2020-03-19,"Uniform volume-specific tax of HRK 40 per HL replaced in 2020 with tiered structure, with drinks containing caffeine, methylxanthine, and taurine, and high-sugar drinks, subject to higher tier; rate lowered on low/no sugar drinks ",Excise,Specific,Volume,N/A,"Non-alcoholic beverages imported or produced in the territory of the Republic of Croatia, including syrups, powders and granules intended for preparation of non-alcoholic beverages; fruit juices, fruit base, herbal extracts, cereals or whey, artificial non-alcoholic beverages and low-energy non-alcoholic beverage",1,1,1,1,1,1,1,0,Beverages containing < 2 g sugar,1,"BEV, SUGAR",1,1,0,0,1,"SSBs not containing taurine or methylxanthine: HRK 10/hl on SSB containing 2-5g sugar, HRK 30/hl on beverages containing 5-8g sugar, HRK 60/hl on beverages containing >8g sugar. Beverages containing < 2 g sugar exempt. 
SSB containing taurine: HRK 200/hl; Concentrates and syrups containing taurine: HRK 1,400/hl
SSB containing >15mg/100ml methylxanthines: HRK 80/hl 
Rates applied to concentrates and syrups containing >15mg/100ml methylxanthines: HRK 560/hl",1,1,0,0,"Zakon o posebnom porezu na bezalkoholna pića (Law on Special Tax on Soft Drinks) 51/1994, Amending Law and Decree on Special Tax on Coffee and Soft Drinks (April 2020)",
Dominica ,DMA,1,DMA,15.43426439,-61.34964029,LAC,UMIC,72737,National,2015,2015-09-01,N/I,N/A,Excise,Mixed,Volume,Ex-factory or CIF value,"Soft drinks and other sweetened drinks, including energy drinks, beverages containing cocoa, malt beverages, and other (HS codes 2202.10 and 2202.90). Also applies to foods with high sugar content. ",1,1,1,0,0,0,1,0,"Plain water, juices ",1,BEV,1,0,0,0,0,"$0.20 per liter on carbonated soft drinks, $0.63 per liter on malt beverages, 10% on energy and other drinks",1,1,1,0,"Excise Tax Act 8, 2005. Excise Tax (Amendment), SRO N 28 of 2015. ",
Ecuador ,ECU,0,ECU,,,LAC,UMIC,18001000,National,2016,2016-05-01,N/I,N/A,Excise,Mixed,Sugar,Retail sale price,"Non-alcoholic beverages and sodas, including syrups and concentrates",1,1,1,0,0,0,1,0,"Dairy products and their derivatives, mineral water, and juices that have 50% of natural content.  ",1,"BEV, SUGAR",1,1,0,0,0,10% on SSB with <25 g sugar per liter and on all energy drinks. US$0.18 per 100g of sugar on drinks with >25 g sugar per liter except energy drinks,1,1,0,0,Ley Orgánica para el Equilibrio de las Finanzas Públicas 2016,
Egypt,EGY,0,EGY,,,MENA,LMIC,110990103,National,2016,2016-09-08,N/I,N/A,Excise,Ad valorem,N/A,Ex-factory or CIF value,Non-alcoholic beverages,1,1,1,1,1,1,1,0,"Non-carbonated unsweetened water, plain milk",0,N/A,0,0,0,0,0,"8% on all non-alcoholic beverages, excluding non-carbonated unsweetened water and plain milk",0,0,0,N/A,VAT Law no. 67 of 2016 ,
El Salvador,SLV,0,SLV,,,LAC,UMIC,6336392,National,2010,2010-01-01,N/I,N/A,Excise,Mixed,Volume,Retail sale price,"All carbonates whether sweetened or not, all other SSBs except those containing >20%  milk",1,1,1,1,1,0,1,0,"SSB containing more than 20% milk, plain (unsweetened uncarbonated) bottled water",1,BEV,1,0,0,0,0,"Energy drinks: 10% ad valorem and USD$0.20 per litre. All other products: 10% on carbonates, energy drinks, and concentrates or powders used in the preparation of these beverages; 5% on sports drinks, juices, juice drinks, and  and concentrates or powders used in the preparation of these beverages",1,1,0,0,"Ley de impuesto sobre las bebidas gaseosas, isotónicas, fortificantes o energizantes, jugos, néctares, refrescos y preparaciones concentradas o en polvo para la elaboración de bebidas; Decreto N 237 de 2010, published in el Diario Oficial en el 21 de Diciembre de 2009",
Equatorial Guinea,GNQ,0,GNQ,,,AFR,UMIC,1674908,National,2020,2020-01-01,N/I,N/A,Excise,Specific,Volume,N/A,"Caloric non-alcoholic beverages (drinks with added sugar, syrup or energy) including fruit juices, drinks and nectars; excluding unsweetened water (carbonated or uncarbonated)",1,1,1,1,1,1,0,0,"Unsweetened water, LCSB",0,N/A,0,0,0,0,0,"XAF 100/L on caloric non-alcoholic beverages (drinks with added sugar, syrup or energy)",1,0,0,0,"Loi de finances pour 2020 Loi no. 05/2019 du 12 décembre 2019; Loi de finances pour 2022, Loi no. 03/2021 du 3 décembre 2021 ",
Eritrea,ERI,0,ERI,,,AFR,LIC,3684032,National,2001,2001-10-01,N/I,N/A,Excise,Mixed,Volume,Ex-factory or CIF value,"Mineral water, lemonade, flavored carbonated waters, syrup",1,1,1,0,0,0,1,1,"Juices, milk-based drinks",1,BEV,1,0,0,0,0,"15% or Nfa 0.20 whichever is higher on mineral water, 15% or Nfa 0.30 whichever is higher on other beverages",1,0,0,0,Proclamation No. 117/2001 to amend the Sales and Excise Tax Proclamation No. 62/1994,
Ethiopia,ETH,0,ETH,,,AFR,LIC,123379924,National,2003,2003-01-01,2020-02-14,"Lowered in 2020 from 40% to 25% on all SSB (except fruit juices), including powders, and from 30% to 10% on bottled water ",Excise,Ad valorem,N/A,Ex-factory or CIF value,"All types of waters with or without added sugar or other sweeteners, and soft drink powders. Also applies to fats and oils, sugar and sugar confectionary, chocolate and food preparation containing cocoa. ",1,1,1,0,0,0,1,1,Fruit and vegetable juices,1,BEV,1,0,0,0,0,"25% on SSB (HS heading 2202), soft drink powder (HS 2106.9040), and non-alcoholic beer (HS 2202.9990); 10% on unsweetened waters (HS 2201)",1,1,0,N/A,Excise tax proclamation No. 1186/2020,
